"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"TOTAW","Tottenham Acquisition I Limited","0.2","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/totaw",
"TOUR","Tuniu Corporation","7.2","256399696.8","35611069","2014","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/tour",
"UTSI","UTStarcom Holdings Corp","3.66","131369920.86","n/a","2000","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/utsi",
"UXIN","Uxin Limited","5.38","134500000","25000000","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/uxin",
"WVE","WAVE Life Sciences Ltd.","49.95","1464647236.65","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/wve",
"WB","Weibo Corporation","72.99","4677734143.71","64087329","2014","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/wb",
"WINS","Wins Finance Holdings Inc.","70","1388634940","n/a","2014","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/wins",
"XNET","Xunlei Limited","9.07","332149966.68","36620724","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/xnet",
"YTRA","Yatra Online, Inc.","5.44","245203392.32","n/a","n/a","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/ytra",
"YIN","Yintech Investment Holdings Limited","7.4","101239910.6","13681069","2016","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/yin",
"YECO","Yulong Eco-Materials Limited","1.32","3182612.4","n/a","2017","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/yeco",
"YY","YY Inc.","71.58","3509027185.74","49022453","2012","Technology","EDP Services","https://www.nasdaq.com/symbol/yy",
"ZLAB","Zai Lab Limited","17.81","205936477.89","11562969","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/zlab",
"ZKIN","ZK International Group Co., Ltd","3.46","45732591.52","n/a","2017","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/zkin",
